Date,Winning Numbers,(As Drawn),Thunderball
12/06/2013,15, 35, 2, 4, 20,13
14/06/2013,22, 20, 16, 39, 37,3
15/06/2013,14, 16, 39, 18, 22,2
19/06/2013,9, 21, 22, 26, 28,6
21/06/2013,35, 13, 2, 20, 34,11
22/06/2013,38, 2, 23, 11, 32,7
26/06/2013,3, 16, 22, 9, 35,12
28/06/2013,8, 23, 11, 29, 38,8
29/06/2013,5, 32, 25, 8, 24,9
03/07/2013,39, 28, 35, 15, 8,3
05/07/2013,21, 25, 2, 20, 38,4
06/07/2013,5, 8, 13, 23, 7,7
10/07/2013,30, 21, 7, 19, 36,14
12/07/2013,15, 4, 11, 7, 20,10
13/07/2013,12, 39, 38, 20, 37,3
17/07/2013,33, 26, 32, 29, 5,10
19/07/2013,10, 17, 36, 30, 35,11
20/07/2013,15, 23, 21, 18, 38,3
24/07/2013,26, 11, 25, 29, 8,4
26/07/2013,19, 39, 5, 30, 16,7
27/07/2013,24, 34, 16, 21, 18,6
31/07/2013,19, 16, 14, 31, 21,3
02/08/2013,10, 20, 25, 8, 27,3
03/08/2013,28, 35, 23, 38, 26,10
07/08/2013,25, 4, 19, 31, 18,5
09/08/2013,2, 22, 15, 29, 5,7
10/08/2013,22, 10, 30, 35, 31,12
14/08/2013,2, 8, 22, 4, 7,5
16/08/2013,28, 18, 32, 35, 4,11
17/08/2013,37, 1, 30, 4, 6,2
21/08/2013,20, 5, 38, 13, 6,14
23/08/2013,1, 10, 25, 39, 8,7
24/08/2013,36, 22, 33, 30, 7,9
28/08/2013,22, 12, 24, 4, 3,6
30/08/2013,9, 32, 8, 13, 20,11
31/08/2013,12, 37, 10, 8, 34,13
04/09/2013,38, 21, 36, 29, 35,2
06/09/2013,10, 25, 32, 22, 34,10
07/09/2013,26, 34, 29, 14, 25,7
11/09/2013,14, 2, 29, 35, 7,1
13/09/2013,1, 26, 34, 14, 39,4
14/09/2013,18, 30, 2, 23, 31,5
18/09/2013,30, 18, 38, 25, 16,14
20/09/2013,3, 26, 2, 37, 17,9
21/09/2013,25, 4, 27, 30, 33,1
25/09/2013,13, 24, 33, 28, 4,7
27/09/2013,28, 27, 32, 26, 25,6
28/09/2013,29, 39, 38, 30, 5,13
02/10/2013,12, 28, 34, 6, 30,5
04/10/2013,4, 22, 34, 20, 10,2
05/10/2013,33, 39, 22, 13, 37,8
09/10/2013,10, 5, 1, 37, 18,14
11/10/2013,17, 37, 1, 13, 39,14
12/10/2013,31, 36, 16, 23, 21,5
16/10/2013,18, 24, 6, 1, 31,3
18/10/2013,22, 20, 12, 18, 37,11
19/10/2013,38, 11, 21, 27, 33,6
23/10/2013,24, 16, 26, 17, 34,2
25/10/2013,19, 38, 25, 24, 6,3
26/10/2013,15, 17, 36, 1, 16,14
30/10/2013,30, 24, 22, 10, 38,14
01/11/2013,2, 9, 1, 34, 10,7
02/11/2013,24, 21, 38, 12, 16,7
06/11/2013,3, 37, 6, 14, 7,14
08/11/2013,26, 3, 38, 33, 9,14
09/11/2013,18, 27, 22, 14, 21,1
13/11/2013,25, 27, 21, 10, 2,2
15/11/2013,32, 28, 29, 22, 2,5
16/11/2013,5, 13, 2, 37, 7,1
20/11/2013,19, 16, 11, 14, 1,9
22/11/2013,24, 10, 38, 22, 9,4
23/11/2013,22, 13, 15, 35, 30,1
27/11/2013,3, 11, 32, 15, 33,5
29/11/2013,28, 14, 4, 8, 30,11
30/11/2013,21, 25, 4, 6, 17,2
04/12/2013,28, 16, 35, 12, 33,8
06/12/2013,8, 39, 27, 32, 6,1
07/12/2013,11, 22, 13, 2, 12,9
11/12/2013,36, 31, 33, 16, 5,13
13/12/2013,34, 27, 15, 4, 13,10
14/12/2013,19, 12, 24, 2, 13,11
18/12/2013,3, 15, 32, 30, 5,3
20/12/2013,14, 6, 21, 39, 20,7
21/12/2013,35, 18, 36, 20, 32,13
25/12/2013,33, 26, 29, 13, 2,7
27/12/2013,25, 5, 2, 11, 39,13
28/12/2013,17, 24, 35, 16, 23,5
01/01/2014,33, 10, 5, 11, 31,13
03/01/2014,22, 15, 33, 2, 8,8
04/01/2014,1, 38, 10, 6, 39,14
08/01/2014,22, 23, 21, 16, 18,12
10/01/2014,2, 39, 20, 35, 9,4
11/01/2014,22, 16, 8, 24, 36,2
15/01/2014,26, 22, 16, 3, 20,11
17/01/2014,22, 2, 18, 37, 21,6
18/01/2014,38, 33, 9, 39, 5,3
22/01/2014,20, 38, 13, 37, 18,1
24/01/2014,10, 29, 5, 7, 12,3
25/01/2014,3, 34, 1, 23, 4,12
29/01/2014,36, 27, 39, 5, 38,9
31/01/2014,22, 30, 21, 12, 1,13
01/02/2014,13, 20, 31, 14, 32,11
05/02/2014,28, 31, 5, 10, 17,13
07/02/2014,7, 16, 2, 11, 39,10
08/02/2014,5, 16, 38, 4, 30,1
12/02/2014,14, 32, 4, 18, 16,12
14/02/2014,39, 5, 15, 13, 23,14
15/02/2014,6, 17, 18, 14, 7,11
19/02/2014,9, 20, 2, 8, 32,14
21/02/2014,37, 7, 10, 29, 35,10
22/02/2014,32, 25, 31, 24, 38,12
26/02/2014,27, 24, 14, 19, 9,7
28/02/2014,26, 38, 7, 6, 3,7
01/03/2014,22, 24, 8, 10, 29,13
05/03/2014,17, 35, 22, 14, 19,12
07/03/2014,24, 3, 37, 12, 30,5
08/03/2014,32, 29, 17, 20, 12,12
12/03/2014,15, 36, 25, 5, 26,12
14/03/2014,7, 9, 31, 28, 13,7
15/03/2014,31, 14, 33, 22, 29,12
01/03/2014,22, 24, 8, 10, 29,13
